"","Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow"
"28","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1044517,5146,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Personality disorders","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.74,1.69,1.8,NA,1.74,0.553885113226438,0.524728528934982,0.587786664902119,0.000258767734254603,0.01608625917529,"age, parental SES",2,"Yes","Parental SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,58,22.6,63,95,"Swedish conscripts","Parental SES","Yes","Personality disorders",NA,"Gale et al. (2010)",0.524728528934982,0.587786664902119,NA,NA
"29","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1026859,22804,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Alcohol- and drug related disorders","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.75,1.73,1.77,NA,1.75,0.559615787935423,0.548121408509688,0.570979546585738,3.40023998011099e-05,0.00583115767246178,"age",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,59,22.6,63,95,"Swedish conscripts","None","No","Alcohol- and drug related disorders",NA,"Gale et al. (2010)",0.548121408509688,0.570979546585738,NA,NA
"30","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1026859,22804,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Alcohol- and drug related disorders","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.72,1.69,1.74,NA,1.72,0.542324290825362,0.524728528934982,0.553885113226438,5.53224182335974e-05,0.00743790415598355,"age, parental SES",2,"Yes","Parental SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,60,22.6,63,95,"Swedish conscripts","Parental SES","Yes","Alcohol- and drug related disorders",NA,"Gale et al. (2010)",0.524728528934982,0.553885113226438,NA,NA
"31","Twig et al. (2014)","Twig, G., Gluzman, I., Tirosh, A., Gerstein, H. C., Yaniv, G., Afek, A., Derazne, E., Tzur, D., Karasik, A., Gordon, B., Fruchter, E., Lubin, G., Rudich, A., & Cukierman-Yaffe, T. (2014). Cognitive Function and the Risk for Diabetes Among Young Men. Diabetes Care, 37(11), 2982-2988. https://doi.org/10.2337/dc14-0715","Twig, G., Gluzman, I., Tirosh, A., Gerstein, H. C., Yaniv, G., Afek, A., Derazne, E., Tzur, D., Karasik, A., Gordon, B., Fruchter, E., Lubin, G., Rudich, A., & Cukierman-Yaffe, T.","Cognitive Function and the Risk for Diabetes Among Young Men","https://doi.org/10.2337/dc14-0715",2014,"Diabetes Care","gilad.twig@gmail.com",62,6.88888888888889,"English","Journal article","Published","Sheba Medical Center",NA,35500,35500,0,100,34530,770,17,31.19,5.76,NA,NA,NA,NA,NA,NA,"Israeli conscripts (MELANY cohort)","Israel","Cohort study",NA,"Israeli enlistment test battery (Otis-R, Similarities-R, Arithmetic-R, Raven's Progressive Matrices-R)",NA,NA,NA,"Diabetes and metabolic syndrome",""" Screening for diabetes was performed at each visit to the SPEC based on fasting plasma glucose (FPG) levels"" (p. 2984)","Physical or psychiatric examination",NA,"HR",1.3456,1.28831391619693,1.40543336312392,NA,1.3456,0.296840010236546,0.253334321741732,0.340345698731361,0.000492697035456025,0.0221967798442933,"age",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; HRs estimated from figure 2B",2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","Standardized HR; IQ Means and SDs for case yes/no",14,61,14.19,31,85,"Israeli conscripts","None","No","Diabetes and metabolic syndrome",NA,"Twig et al. (2014)",0.253334321741732,0.340345698731361,NA,NA
"32","Twig et al. (2014)","Twig, G., Gluzman, I., Tirosh, A., Gerstein, H. C., Yaniv, G., Afek, A., Derazne, E., Tzur, D., Karasik, A., Gordon, B., Fruchter, E., Lubin, G., Rudich, A., & Cukierman-Yaffe, T. (2014). Cognitive Function and the Risk for Diabetes Among Young Men. Diabetes Care, 37(11), 2982-2988. https://doi.org/10.2337/dc14-0715","Twig, G., Gluzman, I., Tirosh, A., Gerstein, H. C., Yaniv, G., Afek, A., Derazne, E., Tzur, D., Karasik, A., Gordon, B., Fruchter, E., Lubin, G., Rudich, A., & Cukierman-Yaffe, T.","Cognitive Function and the Risk for Diabetes Among Young Men","https://doi.org/10.2337/dc14-0715",2014,"Diabetes Care","gilad.twig@gmail.com",62,6.88888888888889,"English","Journal article","Published","Sheba Medical Center",NA,35500,35500,0,100,34530,770,17,31.19,5.76,NA,NA,NA,NA,NA,NA,"Israeli conscripts (MELANY cohort)","Israel","Cohort study",NA,"Israeli enlistment test battery (Otis-R, Similarities-R, Arithmetic-R, Raven's Progressive Matrices-R)",NA,NA,NA,"Diabetes and metabolic syndrome",""" Screening for diabetes was performed at each visit to the SPEC based on fasting plasma glucose (FPG) levels"" (p. 2984)","Physical or psychiatric examination",NA,"HR",1.2321,1.17779551332432,1.2889082976002,NA,1.2321,0.208720030648486,0.163644482151337,0.253795579145634,0.000528895531111725,0.0229977288250759,"age, BMI, fasting glucose",3,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; HRs estimated from figure 2B",2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","Standardized HR; Means and SDs for case yes/no",14,62,14.19,31,85,"Israeli conscripts","Multivariate","Yes","Diabetes and metabolic syndrome",NA,"Twig et al. (2014)",0.163644482151337,0.253795579145634,NA,NA
"33","Twig et al. (2014)","Twig, G., Gluzman, I., Tirosh, A., Gerstein, H. C., Yaniv, G., Afek, A., Derazne, E., Tzur, D., Karasik, A., Gordon, B., Fruchter, E., Lubin, G., Rudich, A., & Cukierman-Yaffe, T. (2014). Cognitive Function and the Risk for Diabetes Among Young Men. Diabetes Care, 37(11), 2982-2988. https://doi.org/10.2337/dc14-0715","Twig, G., Gluzman, I., Tirosh, A., Gerstein, H. C., Yaniv, G., Afek, A., Derazne, E., Tzur, D., Karasik, A., Gordon, B., Fruchter, E., Lubin, G., Rudich, A., & Cukierman-Yaffe, T.","Cognitive Function and the Risk for Diabetes Among Young Men","https://doi.org/10.2337/dc14-0715",2014,"Diabetes Care","gilad.twig@gmail.com",62,6.88888888888889,"English","Journal article","Published","Sheba Medical Center",NA,35500,35500,0,100,34530,770,17,31.19,5.76,NA,NA,NA,NA,NA,NA,"Israeli conscripts (MELANY cohort)","Israel","Cohort study",NA,"Israeli enlistment test battery (Otis-R, Similarities-R, Arithmetic-R, Raven's Progressive Matrices-R)",NA,NA,NA,"Diabetes and metabolic syndrome",""" Screening for diabetes was performed at each visit to the SPEC based on fasting plasma glucose (FPG) levels"" (p. 2984)","Physical or psychiatric examination",NA,"HR",1.21,1.1407989403143,1.28339880785358,NA,1.21,0.19062035960865,0.131728841780458,0.249511877436842,0.000902803746383856,0.0300466927694856,"age, BMI, fasting plasma glucose, family history, birth country, country of origin, SES, education, physical activity, smoking status, triglyceride level, breakfast consumption, WBC count",13,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; HRs estimated from figure 2B",2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","Standardized HR; Means and SDs for case yes/no",14,63,14.19,31,85,"Israeli conscripts","Multivariate","Yes","Diabetes and metabolic syndrome",NA,"Twig et al. (2014)",0.131728841780458,0.249511877436842,NA,NA
"34","Kajantie et al. (2012)","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G. (2012). Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence. PloS One, 7(11), e46841. https://doi.org/10.1371/journal.pone.0046841","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G.","Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence","https://doi.org/10.1371/journal.pone.0046841",2012,"PLOS One","eero.kajantie@helsinki.fi",16,1.45454545454545,"English","Journal article","Published","University of Helsinki",NA,2786,2786,0,100,2505,281,20.1,47.5,NA,NA,NA,NA,NA,NA,NA,"Helsinki Birth Cohort 1934 to 1944","Finland","Cohort study",NA,"Finnish Defence Forces Basic Ability Test",NA,NA,NA,"Heart diseases","""hospital discharges for coronary heart disease and stroke during 1971–2003 from validated national death and hospital discharge registers"" (p. 2012)","Register data","""verbal, visuospatial and arithmetic subtests, each composed of 40 multiple-choice questions increasing in difficulty""","HR",1.35,1.18,1.54,NA,1.35,0.300104592450338,0.165514438477573,0.431782416425538,0.0046138741722523,0.0679255045785624,"age, year",2,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","Mean z-score of all subtests was used in analysis; hieght and BMI were only assessed at military service, thus, the moderated analyses with BMI were not used here.",2023-06-20,2022-09-28,"Other","Yes","Means and SDs for case yes/no",15,64,27.4,64,96,"Helsinki Birth Cohort 1934 to 1944","None","No","Heart diseases",NA,"Kajantie et al. (2012)",0.165514438477573,0.431782416425538,NA,NA
"35","Kajantie et al. (2012)","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G. (2012). Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence. PloS One, 7(11), e46841. https://doi.org/10.1371/journal.pone.0046841","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G.","Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence","https://doi.org/10.1371/journal.pone.0046841",2012,"PLOS One","eero.kajantie@helsinki.fi",16,1.45454545454545,"English","Journal article","Published","University of Helsinki",NA,2786,2786,0,100,2505,281,20.1,47.5,NA,NA,NA,NA,NA,NA,NA,"Helsinki Birth Cohort 1934 to 1944","Finland","Cohort study",NA,"Finnish Defence Forces Basic Ability Test",NA,NA,NA,"Heart diseases","""hospital discharges for coronary heart disease and stroke during 1971–2003 from validated national death and hospital discharge registers"" (p. 2012)","Register data","""verbal, visuospatial and arithmetic subtests, each composed of 40 multiple-choice questions increasing in difficulty""","HR",1.1,0.94,1.29,NA,1.1,0.0953101798043249,-0.0618754037180875,0.254642218373581,0.00651964058560002,0.0807442913499154,"age, year, education",3,"Yes","Education",NA,NA,NA,NA,"per SD lower IQ","Regression","Mean z-score of all subtests was used in analysis; hieght and BMI were only assessed at military service, thus, the moderated analyses with BMI were not used here.",2023-06-20,2022-09-28,"Other","Yes","Means and SDs for case yes/no",15,65,27.4,64,96,"Helsinki Birth Cohort 1934 to 1944","Education","Yes","Heart diseases",NA,"Kajantie et al. (2012)",-0.0618754037180875,0.254642218373581,NA,NA
"36","Kajantie et al. (2012)","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G. (2012). Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence. PloS One, 7(11), e46841. https://doi.org/10.1371/journal.pone.0046841","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G.","Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence","https://doi.org/10.1371/journal.pone.0046841",2012,"PLOS One","eero.kajantie@helsinki.fi",16,1.45454545454545,"English","Journal article","Published","University of Helsinki",NA,2786,2786,0,100,2655,131,20.1,47.5,NA,NA,NA,NA,NA,NA,NA,"Helsinki Birth Cohort 1934 to 1944","Finland","Cohort study",NA,"Finnish Defence Forces Basic Ability Test",NA,NA,NA,"Stroke","""hospital discharges for coronary heart disease and stroke during 1971–2003 from validated national death and hospital discharge registers"" (p. 2012)","Register data","""verbal, visuospatial and arithmetic subtests, each composed of 40 multiple-choice questions increasing in difficulty""","HR",1.1,0.9,1.35,NA,1.1,0.0953101798043249,-0.105360515657826,0.300104592450338,0.0106987943755965,0.103434976558205,"age, year",2,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","Mean z-score of all subtests was used in analysis; hieght and BMI were only assessed at military service, thus, the moderated analyses with BMI were not used here.",2023-06-20,2022-09-28,"Other","Yes","Means and SDs for case yes/no",15,66,27.4,64,96,"Helsinki Birth Cohort 1934 to 1944","None","No","Stroke",NA,"Kajantie et al. (2012)",-0.105360515657826,0.300104592450338,NA,NA
"37","Kajantie et al. (2012)","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G. (2012). Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence. PloS One, 7(11), e46841. https://doi.org/10.1371/journal.pone.0046841","Kajantie, E., Räikkönen, K., Henriksson, M., Leskinen, J. T., Forsén, T., Heinonen, K., Pesonen, A.-K., Osmond, C., Barker, D. J. P., & Eriksson, J. G.","Stroke Is Predicted by Low Visuospatial in Relation to Other Intellectual Abilities and Coronary Heart Disease by Low General Intelligence","https://doi.org/10.1371/journal.pone.0046841",2012,"PLOS One","eero.kajantie@helsinki.fi",16,1.45454545454545,"English","Journal article","Published","University of Helsinki",NA,2786,2786,0,100,2655,131,20.1,47.5,NA,NA,NA,NA,NA,NA,NA,"Helsinki Birth Cohort 1934 to 1944","Finland","Cohort study",NA,"Finnish Defence Forces Basic Ability Test",NA,NA,NA,"Stroke","""hospital discharges for coronary heart disease and stroke during 1971–2003 from validated national death and hospital discharge registers"" (p. 2012)","Register data","""verbal, visuospatial and arithmetic subtests, each composed of 40 multiple-choice questions increasing in difficulty""","HR",0.97,0.77,1.24,NA,0.97,-0.0304592074847086,-0.261364764134408,0.215111379616945,0.0147744114147855,0.121550036671264,"age, year, education",3,"Yes","Education",NA,NA,NA,NA,"per SD lower IQ","Regression","Mean z-score of all subtests was used in analysis; hieght and BMI were only assessed at military service, thus, the moderated analyses with BMI were not used here.",2023-06-20,2022-09-28,"Other","Yes","Means and SDs for case yes/no",15,67,27.4,64,96,"Helsinki Birth Cohort 1934 to 1944","Education","Yes","Stroke",NA,"Kajantie et al. (2012)",-0.261364764134408,0.215111379616945,NA,NA
"38","Wennerstad et al. (2010)","Wennerstad, K. M., Silventoinen, K., Tynelius, P., Bergman, L., & Rasmussen, F. (2010). Association between intelligence and type-specific stroke: A population-based cohort study of early fatal and non-fatal stroke in one million Swedish men. Journal of Epidemiology and Community Health, 64(10), 908. https://doi.org/10.1136/jech.2008.084020","Wennerstad, K. M., Silventoinen, K., Tynelius, P., Bergman, L., & Rasmussen, F.","Association between intelligence and type-specific stroke: a population-based cohort study of early fatal and non-fatal stroke in one million Swedish men","https://doi.org/10.1136/jech.2008.084020",2010,"Journal of Epidemiology and Community Health","finn.rasmussen@ki.se",29,2.23076923076923,"English","Journal article","Published","Department of Public Health Sciences, Stockholm",NA,1127168,1127168,0,100,1119507,7661,18.3,42.3,7.9,NA,21.6,2.8,21.8,3.2,-0.0714,"Swedish conscripts 1951 to 1976","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Stroke","Non-fatal stroke; Hospital Discharge Register","Register data",NA,"HR",0.92,0.91,0.93,NA,1.08695652173913,0.083381608939051,0.0943106794712412,0.0725706928348354,3.07571727243276e-05,0.00554591495826682,"age",1,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression","Cohen's d is provided here in addition to HRs",2023-06-20,2022-09-28,"Other","No",NA,16,69,24,63,95,"Swedish conscripts","None","No","Stroke",NA,"Wennerstad et al. (2010)",0.0943106794712412,0.0725706928348354,NA,NA
"39","Wennerstad et al. (2010)","Wennerstad, K. M., Silventoinen, K., Tynelius, P., Bergman, L., & Rasmussen, F. (2010). Association between intelligence and type-specific stroke: A population-based cohort study of early fatal and non-fatal stroke in one million Swedish men. Journal of Epidemiology and Community Health, 64(10), 908. https://doi.org/10.1136/jech.2008.084020","Wennerstad, K. M., Silventoinen, K., Tynelius, P., Bergman, L., & Rasmussen, F.","Association between intelligence and type-specific stroke: a population-based cohort study of early fatal and non-fatal stroke in one million Swedish men","https://doi.org/10.1136/jech.2008.084020",2010,"Journal of Epidemiology and Community Health","finn.rasmussen@ki.se",29,2.23076923076923,"English","Journal article","Published","Department of Public Health Sciences, Stockholm",NA,1127168,1127168,0,100,1119507,7661,18.3,42.3,7.9,NA,21.6,2.8,21.8,3.2,-0.0714,"Swedish conscripts 1951 to 1976","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Stroke","Non-fatal stroke; Hospital Discharge Register","Register data",NA,"HR",0.92,0.91,0.93,NA,1.08695652173913,0.083381608939051,0.0943106794712412,0.0725706928348354,3.07571727243276e-05,0.00554591495826682,"age, childhood SES",1,"Yes","Childhood SES",NA,NA,NA,NA,"per SD higher IQ","Regression","Cohen's d is provided here in addition to HRs",2023-06-20,2022-09-28,"Other","No",NA,16,70,24,63,95,"Swedish conscripts","Childhood SES","Yes","Stroke",NA,"Wennerstad et al. (2010)",0.0943106794712412,0.0725706928348354,NA,NA
"40","Wennerstad et al. (2010)","Wennerstad, K. M., Silventoinen, K., Tynelius, P., Bergman, L., & Rasmussen, F. (2010). Association between intelligence and type-specific stroke: A population-based cohort study of early fatal and non-fatal stroke in one million Swedish men. Journal of Epidemiology and Community Health, 64(10), 908. https://doi.org/10.1136/jech.2008.084020","Wennerstad, K. M., Silventoinen, K., Tynelius, P., Bergman, L., & Rasmussen, F.","Association between intelligence and type-specific stroke: a population-based cohort study of early fatal and non-fatal stroke in one million Swedish men","https://doi.org/10.1136/jech.2008.084020",2010,"Journal of Epidemiology and Community Health","finn.rasmussen@ki.se",29,2.23076923076923,"English","Journal article","Published","Department of Public Health Sciences, Stockholm",NA,1122326,1122326,0,100,1114757,7569,18.3,42.3,7.9,NA,21.6,2.8,21.8,3.2,-0.0714,"Swedish conscripts 1951 to 1976","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Stroke","Non-fatal stroke; Hospital Discharge Register","Register data",NA,"HR",0.95,0.94,0.96,NA,1.05263157894737,0.0512932943875505,0.0618754037180874,0.0408219945202552,2.8845145177229e-05,0.00537076765250826,"age, education",1,"Yes","Education",NA,NA,NA,NA,"per SD higher IQ","Regression","Cohen's d is provided here in addition to HRs",2023-06-20,2022-09-28,"Other","No",NA,16,71,24,63,95,"Swedish conscripts","Education","Yes","Stroke",NA,"Wennerstad et al. (2010)",0.0618754037180874,0.0408219945202552,NA,NA
"41","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.2769,1.24907748962433,1.3053422414092,NA,1.2769,0.244435265448498,0.222405270551483,0.266465260345513,0.000126332953759505,0.0112397933148037,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,72,28,63,95,"Swedish conscripts","None","No","Heart diseases",NA,"Hemmingsson et al. (2007)",0.222405270551483,0.266465260345513,NA,NA
"42","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.2544,1.2212381822311,1.28846230235392,NA,1.2544,0.226657370614006,0.199865247546953,0.25344949368106,0.000186853878186203,0.0136694505444148,"Childhood SES",1,"Yes","Childhood SES",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,73,28,63,95,"Swedish conscripts","Childhood SES","Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.199865247546953,0.25344949368106,NA,NA
"43","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.2321,1.20453275294628,1.26029815817528,NA,1.2321,0.208720030648486,0.186091734854425,0.231348326442546,0.000133288153515069,0.0115450488745206,"Daily smoking",1,"Yes","Smoking",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,74,28,63,95,"Swedish conscripts","Smoking","Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.186091734854425,0.231348326442546,NA,NA
