"Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Include.in.sample.size.calculation","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow","Country"
"Richards et al. (2009)","Richards, M., Black, S., Mishra, G., Gale, C. R., Deary, I. J., & Batty, D. G. (2009). IQ in childhood and the metabolic syndrome in middle age: Extended follow-up of the 1946 British Birth Cohort Study. Intelligence, 37(6), 567-572. https://doi.org/10.1016/j.intell.2008.09.004","Richards, M., Black, S., Mishra, G., Gale, C. R., Deary, I. J., & Batty, D. G.","IQ in childhood and the metabolic syndrome in middle age: Extended follow-up of the 1946 British Birth Cohort Study","https://doi.org/10.1016/j.intell.2008.09.004",2009,"Intelligence","m.richards@nshd.mrc.ac.uk",42,3,"English","Journal article","Published","MRC Unit for Lifelong Health and Ageing",NA,1799,NA,NA,NA,1419,380,8,53,NA,1946,NA,NA,NA,NA,NA,"British 1946 Birth Cohort","UK","Cohort study","MRC National Survey of Health and Development; female/male proportions not reported","Composite of four subtests",NA,NA,NA,"Diabetes and metabolic syndrome",NA,"Physical or psychiatric examination","IQ test: reading, vocabulary, nonverbal reasoning","OR",0.96,0.94,1.11,NA,1.04166666666667,0.0408219945202552,-0.04229571500091,0.12393970404142,0.00179835319555518,0.0424069946536557,"education",1,"Yes","Education",NA,NA,NA,NA,"per SD higher IQ","Regression","CIs were recalculated due to probable reporting error in confidence intervals of logistic OR",2023-06-20,2022-09-28,"Deary et al. (2021)","No",NA,11,49,45,55,90,"No","British 1946 Birth Cohort","Education","Yes","Diabetes and metabolic syndrome",NA,"Richards et al. (2009)",-0.04229571500091,0.12393970404142,NA,NA,"UK"
"Richards et al. (2009)","Richards, M., Black, S., Mishra, G., Gale, C. R., Deary, I. J., & Batty, D. G. (2009). IQ in childhood and the metabolic syndrome in middle age: Extended follow-up of the 1946 British Birth Cohort Study. Intelligence, 37(6), 567-572. https://doi.org/10.1016/j.intell.2008.09.004","Richards, M., Black, S., Mishra, G., Gale, C. R., Deary, I. J., & Batty, D. G.","IQ in childhood and the metabolic syndrome in middle age: Extended follow-up of the 1946 British Birth Cohort Study","https://doi.org/10.1016/j.intell.2008.09.004",2009,"Intelligence","m.richards@nshd.mrc.ac.uk",42,3,"English","Journal article","Published","MRC Unit for Lifelong Health and Ageing",NA,1799,NA,NA,NA,1419,380,8,53,NA,1946,NA,NA,NA,NA,NA,"British 1946 Birth Cohort","UK","Cohort study","MRC National Survey of Health and Development; female/male proportions not reported","Composite of four subtests",NA,NA,NA,"Diabetes and metabolic syndrome",NA,"Physical or psychiatric examination","IQ test: reading, vocabulary, nonverbal reasoning","OR",0.93,0.82,1.05,NA,1.0752688172043,0.0725706928348354,-0.0510498586117998,0.196191244281471,0.00397804059245371,0.0630717099217527,"Adult SES",1,"Yes","Adult SES",NA,NA,NA,NA,"per SD higher IQ","Regression","CIs were recalculated due to probable reporting error in confidence intervals of logistic OR",2023-06-20,2022-09-28,"Deary et al. (2021)","No",NA,11,50,45,55,90,"No","British 1946 Birth Cohort","Adult SES","Yes","Diabetes and metabolic syndrome",NA,"Richards et al. (2009)",-0.0510498586117998,0.196191244281471,NA,NA,"UK"
"Crow et al. (1995)","Crow, T. J., Done, D. J., & Sacker, A. (1995). Chidhood precursors of psychiosis as clues to its evolutionary orgins. European Archives of Psychiatry and Clinical Neuroscience, 245(2), 61-69. https://doi.org/10.1007/BF02190732","Crow, T. J., Done, D. J., & Sacker, A.","Chidhood precursors of psychiosis as clues to its evolutionary orgins.","https://doi.org/10.1007/BF02190732",1995,"European Archives of Psychiatry and Clinical Neuroscience","T.J. Crow",289,10.3214285714286,"English","Journal article","Published","Warneford Hospital, Oxford",NA,1446,NA,NA,NA,1417,29,11,22,NA,1958,NA,NA,NA,NA,NA,"National Child Development Study","UK","Cohort study",NA,"General ability test","verbal and nonverbal",NA,NA,"Schizophrenia","Mental Health Enquiry","Register data",NA,"OR",2.404918782,1.233526127,4.688700322,NA,2.404918782,0.877516132509319,0.209876837954687,1.54515542720987,0.116030359155255,0.340632293177343,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","ES calculated from reported p-value",2023-07-10,2022-09-28,"Other","No",NA,19,83,11,55,90,"Yes","National Child Development Study","None","No","Schizophrenia",NA,"Crow et al. (1995)",0.209876837954687,1.3,NA,1.3,"UK"
"Cannon et al. (2000)","Cannon, T. D., Bearden, C. E., Hollister, J. M., Rosso, I. M., Sanchez, L. E., & Hadley, T. (2000). Childhood Cognitive Functioning in Schizophrenia Patients and Their Unaffected Siblings: A Prospective Cohort Study. Schizophrenia Bulletin, 26(2), 379-393. https://doi.org/10.1093/oxfordjournals.schbul.a033460","Cannon, T. D., Bearden, C. E., Hollister, J. M., Rosso, I. M., Sanchez, L. E., & Hadley, T.","Childhood Cognitive Functioning in Schizophrenia Patients and Their Unaffected Siblings: A Prospective Cohort Study","https://doi.org/10.1093/oxfordjournals.schbul.a033460",2000,"Schizophrenia Bulletin","cannon@psych.ucla.edu",313,13.6086956521739,"English","Journal article","Published","UCLA",NA,5886,2906,2980,49.3713897383622,5829,57,7,27.5,NA,NA,NA,NA,NA,NA,NA,"National Collaborative Perinatal Project","USA","Cohort study",NA,NA,NA,NA,NA,"Schizophrenia","\"chart-review-based DSM-FV diagnoses of schizophrenia or schizoaffective disorder\" (p. 381)","Hospital case data",NA,"OR",2.6118114,1.627549965,4.191305297,NA,2.6118114,0.960044003600525,0.487075795090167,1.43301221214998,0.0582306659412716,0.241310310474442,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","ES calculated from M and SD reported in paper",2023-07-10,2022-09-28,"Other","No",NA,20,84,20.5,40,89,"Yes","National Collaborative Perinatal Project","None","No","Schizophrenia",NA,"Cannon et al. (2000)",0.487075795090167,1.3,NA,1.3,"USA"
"Cannon et al. (2002)","Cannon, M., Caspi, A., Moffitt, T. E., Harrington, H., Taylor, A., Murray, R. M., & Poulton, R. (2002). Evidence for Early-Childhood, Pan-Developmental Impairment Specific to Schizophreniform Disorder: Results From a Longitudinal Birth Cohort. Archives of General Psychiatry, 59(5), 449-456. https://doi.org/10.1001/archpsyc.59.5.449","Cannon, M., Caspi, A., Moffitt, T. E., Harrington, H., Taylor, A., Murray, R. M., & Poulton, R.","Evidence for Early-Childhood, Pan-Developmental Impairment Specific to Schizophreniform Disorder: Results From a Longitudinal Birth Cohort.","https://doi.org/10.1001/archpsyc.59.5.449",2002,"Archives of General Psychiatry","cannon@psych.ucla.edu",991,47.1904761904762,"English","Journal article","Published","UCLA",NA,678,353,325,52.0648967551622,642,36,7,26,NA,1972,NA,NA,NA,NA,NA,"Dunedin Multidisciplinary Health and Development Study","New Zealand","Cohort study","Number of males/females estimated from reported precentage","Peabody Picture Vocabulary Test, Stanford-Binet Intelligence Scales, WISC-R",NA,NA,NA,"Schizophrenia","\"chart-review-based DSM-FV diagnoses of schizophrenia or schizoaffective disorder\" (p. 381)","Hospital case data",NA,"OR",1.819485539,0.989050637,3.347177085,NA,1.819485539,0.59855379025064,-0.0110097484678861,1.20811732940442,0.0967221230738154,0.311001805579671,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","Cohen d reported in paper",2023-07-11,2022-09-28,"Other","No",NA,21,85,19,42,92,"No","Dunedin Multidisciplinary Health and Development Study","None","No","Schizophrenia",NA,"Cannon et al. (2002)",-0.0110097484678861,1.20811732940442,NA,NA,"New Zealand"
"Altschul et al. (2018)","Altschul, D. M., Starr, J. M., & Deary, I. J. (2018). Cognitive function in early and later life is associated with blood glucose in older individuals: Analysis of the Lothian Birth Cohort of 1936. Diabetologia, 61(9), 1946-1955. https://doi.org/10.1007/s00125-018-4645-8","Altschul, D. M., Starr, J. M., & Deary, I. J.","Cognitive function in early and later life is associated with blood glucose in older individuals: Analysis of the Lothian Birth Cohort of 1936.","https://doi.org/10.1007/s00125-018-4645-8",2018,"Diabetologia","drew.altschul@ed.ac.uk",29,5.8,"English","Journal article","Published","University of Edinburgh",NA,1091,548,543,50.2291475710358,1015,76,11,70,NA,1936,27.6,4.28,30.5,4.52,NA,"Lothian Birth Cohort 1936","Scotland","Cohort study",NA,"Moray House Test",NA,NA,NA,"Diabetes and metabolic syndrome","\"For each individual during each wave, HbA1c concentrations were measured using a Menarini HA-8160 analyser (Wokingham, UK). Diabetes diagnosis status was independently recorded.\" (p. 1948)","Physical or psychiatric examination",NA,"OR",1.97305590223381,1.29154567717487,3.01417879532927,NA,1.97305590223381,0.679583560259874,0.2558397,1.10332742,0.046740644,0.216195846398584,NA,0,"No","None",100,14.8,94.4,16.8,"per SD lower IQ","Mean difference","ES calculated from M and SD reported in paper",2023-09-14,2022-09-28,"Other","No",NA,22,86,59,57,83.3,"Yes","Lothian Birth Cohort 1936","None","No","Diabetes and metabolic syndrome",NA,"Altschul et al. (2018)",0.2558397,1.10332742,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,3070,3070,0,100,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.13,1.04,1.23,NA,0.884955752212389,-0.122217632724249,-0.207014169384326,-0.0392207131532814,0.00183222120691636,0.0428044531201645,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,91,20,55,90,"Yes","1970 British Cohort Study","None","No","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.207014169384326,-0.0392207131532814,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,3070,3070,0,100,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.13,1.03,1.24,NA,0.884955752212389,-0.122217632724249,-0.215111379616945,-0.0295588022415444,0.0022405871883235,0.0473348411671941,"Parental social class",1,"Yes","Parental SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,92,20,55,90,"No","1970 British Cohort Study","Parental SES","Yes","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.215111379616945,-0.0295588022415444,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,3070,3070,0,100,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.18,1.07,1.3,NA,0.847457627118644,-0.165514438477573,-0.262364264467491,-0.0676586484738148,0.00246708903187974,0.0496697999983868,"Current social class",1,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,93,20,55,90,"No","1970 British Cohort Study","Adult SES","Yes","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.262364264467491,-0.0676586484738148,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,3070,3070,0,100,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.16,1.07,1.3,NA,0.862068965517241,-0.148420005118273,-0.262364264467491,-0.0676586484738148,0.00246708903187974,0.0496697999983868,"Parental and current social class, qualifications, children, earnings",5,"Yes","Multivariate",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,94,20,55,90,"No","1970 British Cohort Study","Multivariate","Yes","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.262364264467491,-0.0676586484738148,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,2859,0,2859,0,2628,231,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.44,1.24,1.67,NA,0.694444444444444,-0.364643113587909,-0.512823626428664,-0.215111379616945,0.00576794707294366,0.0759470017376832,NA,NA,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,95,20,55,90,"Yes","1970 British Cohort Study","None","No","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.512823626428664,-0.215111379616945,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,2859,0,2859,0,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.42,1.22,1.65,NA,0.704225352112676,-0.350656871613169,-0.500775287912489,-0.198850858745165,0.00593231732403259,0.0770215380528888,"Parental social class",1,"Yes","Parental SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,96,20,55,90,"No","1970 British Cohort Study","Parental SES","Yes","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.500775287912489,-0.198850858745165,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,2859,0,2859,0,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.35,1.16,1.59,NA,0.740740740740741,-0.300104592450338,-0.46373401623214,-0.148420005118273,0.00647015082288082,0.0804372477331293,"Current social class",1,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,97,20,55,90,"No","1970 British Cohort Study","Adult SES","Yes","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.46373401623214,-0.148420005118273,NA,NA,"UK"
"Batty et al. (2008)","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R. (2008). Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study. American Journal of Public Health, 98(12), 2237-2243. https://doi.org/10.2105/AJPH.2007.109488","Batty, G. D., Deary, I. J., Schoon, I., Emslie, C., Hunt, K., & Gale, C. R.","Childhood Mental Ability and Adult Alcohol Intake and Alcohol Problems: The 1970 British Cohort Study","https://doi.org/10.2105/AJPH.2007.109488",2008,"American Journal of Public Health","david-b@msoc.mrc.gla.ac.uk",104,6.93333333333333,"English","Journal article","Published","University of Glasgow",NA,2859,0,2859,0,2444,626,10,30,NA,1970,NA,NA,NA,NA,NA,"1970 British Cohort Study","UK","Cohort study","Sample sizes in descriptives do not align with n in analyses; therefore, case-control sample sizes are estimated here.","British Ability Scales","Word definitions, word similarities, recall of digits, matrices",NA,NA,"Alcohol- and drug related disorders","Defined via CAGE questionnaire (score of 2 or more)","Self-report data",NA,"OR",1.38,1.17,1.64,NA,0.72463768115942,-0.322083499169113,-0.494696241836107,-0.157003748809665,0.0074211409208672,0.0861460441393985,"Parental and current social class, qualifications, children, earnings",5,"Yes","Multivariate",NA,NA,NA,NA,"Per SD higher IQ","Regression","Ordinal logistic regression, i.e. interpretation of OR is slightly different from binary logistic regression.; \"A post hoc explanation for this effect could be that persons with greater cognitive abilities are more concerned with, and reflect more deeply upon, the potential health effect of alcohol drinking and so are more likely to respond positively to the CAGE items.\"",2023-09-27,2022-09-28,"Other","No",NA,24,98,20,55,90,"No","1970 British Cohort Study","Multivariate","Yes","Alcohol- and drug related disorders",NA,"Batty et al. (2008)",-0.494696241836107,-0.157003748809665,NA,NA,"UK"
"Altschul et al. (2019)","Altschul, D. M., Wraw, C., Der, G., Gale, C. R., & Deary, I. J. (2019). Hypertension Development by Midlife and the Roles of Premorbid Cognitive Function, Sex, and Their Interaction. Hypertension, 73(4), 812-819. https://doi.org/10.1161/HYPERTENSIONAHA.118.12164","Altschul, D. M., Wraw, C., Der, G., Gale, C. R., & Deary, I. J.","Hypertension Development by Midlife and the Roles of Premorbid Cognitive Function, Sex, and Their Interaction","https://doi.org/10.1161/HYPERTENSIONAHA.118.12164",2019,"Hypertension","drew.altschul@ed.ac.uk",10,2.5,"English","Journal article","Published","University of Edinburgh",NA,2572,2572,0,100,1595,977,18.5,40.98,8.87,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study","Sample overlap with Wraw et al. (2015); thus, we exluded the hypertension models from Wraw et al. from analysis","Armed Forces Qualifications Test","arithmetic reasoning, mathematical knowledge, word knowledge, and paragraph comprehension",NA,NA,"Hypertension","\"Respondents were asked whether they had ever been told by a doc- tor that they had high blood pressure or hypertension\" (p. 813)","Self-report data",NA,"OR",1.31386976836496,1.13473423759165,1.52128464184457,NA,1.31386976836496,0.27297680431725,0.126398471613899,0.4195551370206,0.00559277582728397,0.0747848636241584,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference",NA,2023-10-01,2022-09-28,"Other","No",NA,25,99,22.48,40,80.6,"Yes","NLSY 1979","None","No","Hypertension",NA,"Altschul et al. (2019)",0.126398471613899,0.4195551370206,NA,NA,"USA"
"Altschul et al. (2019)","Altschul, D. M., Wraw, C., Der, G., Gale, C. R., & Deary, I. J. (2019). Hypertension Development by Midlife and the Roles of Premorbid Cognitive Function, Sex, and Their Interaction. Hypertension, 73(4), 812-819. https://doi.org/10.1161/HYPERTENSIONAHA.118.12164","Altschul, D. M., Wraw, C., Der, G., Gale, C. R., & Deary, I. J.","Hypertension Development by Midlife and the Roles of Premorbid Cognitive Function, Sex, and Their Interaction","https://doi.org/10.1161/HYPERTENSIONAHA.118.12164",2019,"Hypertension","drew.altschul@ed.ac.uk",10,2.5,"English","Journal article","Published","University of Edinburgh",NA,2679,0,2679,0,1739,940,18.5,41.68,7.97,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study","Sample overlap with Wraw et al. (2015); thus, we exluded the hypertension models from Wraw et al. from analysis","Armed Forces Qualifications Test","arithmetic reasoning, mathematical knowledge, word knowledge, and paragraph comprehension",NA,NA,"Hypertension","\"Respondents were asked whether they had ever been told by a doc- tor that they had high blood pressure or hypertension\" (p. 813)","Self-report data",NA,"OR",1.54544492682014,1.33473599362704,1.78941755765783,NA,1.54544492682014,0.435311847416212,0.288733514712862,0.581890180119563,0.00559277582728397,0.0747848636241584,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference",NA,2023-10-01,2022-09-28,"Other","No",NA,25,100,23.18,40,80.6,"Yes","NLSY 1979","None","No","Hypertension",NA,"Altschul et al. (2019)",0.288733514712862,0.581890180119563,NA,NA,"USA"
